id,name,state,Union (%),SPD (%),FDP (%),Linke (%),Grüne (%),AfD (%)
1,Flensburg - Schleswig,Schleswig-Holstein,38.19,32.62,5.02,5.66,9.79,10.7
2,Nordfriesland - Dithmarschen Nord,Schleswig-Holstein,35.1,24.02,5.18,3.57,6.57,8.86
3,Steinburg - Dithmarschen Süd,Schleswig-Holstein,32.63,23.35,4.79,3.91,5.9,10.48
4,Rendsburg-Eckernförde,Schleswig-Holstein,37.57,29.05,5.06,4.01,8.53,10.77
5,Kiel,Schleswig-Holstein,27.32,31.29,4.8,6.24,12.7,12.25
6,Plön - Neumünster,Schleswig-Holstein,30.31,25.58,4.18,3.73,7.21,12.12
7,Pinneberg,Schleswig-Holstein,44.83,34.47,6.14,5.55,9.52,11.78
8,Segeberg - Stormarn-Mitte,Schleswig-Holstein,46.17,34.05,6.5,5.67,9.77,12.18
9,Ostholstein - Stormarn-Nord,Schleswig-Holstein,33.43,25.61,5,3.53,6.53,12.05
10,Herzogtum Lauenburg - Stormarn-Süd,Schleswig-Holstein,45.82,33.58,6.77,5.58,10.32,13.87
11,Lübeck,Schleswig-Holstein,26.28,26.2,3.65,4.96,8.49,12.61
18,Hamburg-Mitte,Hamburg,27.98,34.69,4.02,11.28,14.1,15.99
19,Hamburg-Altona,Hamburg,24.64,24.91,4.58,9.04,13.8,10.92
20,Hamburg-Eimsbüttel,Hamburg,27.38,27.7,4.55,7.56,13.74,11.81
21,Hamburg-Nord,Hamburg,36.88,30.53,6.38,6.61,12.67,11.34
22,Hamburg-Wandsbek,Hamburg,31.53,31.34,4.08,6.9,7.89,14.01
23,Hamburg-Bergedorf - Harburg,Hamburg,29.59,30.69,3.08,7.36,8.04,13.94
24,Aurich - Emden,Niedersachsen,26.78,36.16,2.69,4.1,6.87,9.61
25,Unterems,Niedersachsen,50.19,31.8,4.07,4.22,5.92,6.04
26,Friesland - Wilhelmshaven - Wittmund,Niedersachsen,31.62,29.89,3.53,4.24,6.06,10.79
27,Oldenburg - Ammerland,Niedersachsen,35.53,32.9,5.11,6.55,12.56,11.97
28,Delmenhorst - Wesermarsch - Oldenburg-Land,Niedersachsen,38.98,34.14,5,5.49,8.13,10.15
29,Cuxhaven - Stade II,Niedersachsen,37.16,28.35,3.07,3.89,5.97,7.96
30,Stade I - Rotenburg II,Niedersachsen,40.14,27.76,3.75,3.75,6.98,10.13
31,Mittelems,Niedersachsen,59.09,27.43,4.38,3.18,5.7,4.56
32,Cloppenburg - Vechta,Niedersachsen,60.01,18.78,4.4,2.65,4.04,3.71
33,Diepholz - Nienburg I,Niedersachsen,38.23,27.66,4.31,3.96,7.19,7.88
34,Osterholz - Verden,Niedersachsen,35.64,29.52,3.26,4.99,8.53,9.59
35,Rotenburg I - Heidekreis,Niedersachsen,33.1,23.67,3.07,3.47,6.43,8.63
36,Harburg,Niedersachsen,40.41,26.72,4.6,4.13,8.76,13.97
37,Lüchow-Dannenberg - Lüneburg,Niedersachsen,30.35,23.91,3.29,5.73,11.76,12
38,Osnabrück-Land,Niedersachsen,42.94,26.28,4.11,3.6,6.88,5.89
