id;name;state;Union (%);SPD (%);Linke (%);Grüne (%);FDP (%);AfD (%)
1;Flensburg – Schleswig;Schleswig-Holstein;34.22;23.70;8.21;13.08;11.12;6.84
2;Nordfriesland – Dithmarschen Nord;Schleswig-Holstein;31.06;18.26;5.04;8.89;10.59;5.30
3;Steinburg – Dithmarschen Süd;Schleswig-Holstein;27.80;17.46;5.12;7.61;10.15;6.56
4;Rendsburg-Eckernförde;Schleswig-Holstein;33.21;20.99;5.85;11.35;11.19;6.79
5;Kiel;Schleswig-Holstein;23.48;21.03;9.08;15.20;10.26;6.10
6;Plön – Neumünster;Schleswig-Holstein;25.69;18.20;4.99;9.60;9.67;6.55
7;Pinneberg;Schleswig-Holstein;37.48;25.08;7.69;12.52;14.52;9.38
8;Segeberg – Stormarn-Mitte;Schleswig-Holstein;38.95;25.25;7.77;12.33;15.28;10.07
9;Ostholstein – Stormarn-Nord;Schleswig-Holstein;28.69;19.81;4.87;7.92;10.65;6.91
10;Herzogtum Lauenburg – Stormarn-Süd;Schleswig-Holstein;38.75;25.13;7.32;12.22;15.35;11.03
11;Lübeck;Schleswig-Holstein;22.45;19.32;7.17;9.72;8.28;6.78
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;Mecklenburg-Vorpommern;29.98;16.99;15.22;3.88;5.80;15.08
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;Mecklenburg-Vorpommern;28.66;14.69;14.32;3.24;5.29;15.07
14;Rostock – Landkreis Rostock II;Mecklenburg-Vorpommern;29.01;15.05;19.70;6.00;6.25;14.77
15;Vorpommern-Rügen – Vorpommern-Greifswald I;Mecklenburg-Vorpommern;32.34;11.96;17.68;4.99;6.74;19.30
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;Mecklenburg-Vorpommern;30.39;11.19;15.99;2.39;5.08;20.89
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;Mecklenburg-Vorpommern;29.95;12.09;14.12;2.70;4.83;16.07
18;Hamburg-Mitte;Hamburg;24.03;24.51;15.30;14.75;9.49;8.19
19;Hamburg-Altona;Hamburg;21.21;17.41;13.37;15.23;9.54;4.71
20;Hamburg-Eimsbüttel;Hamburg;24.52;20.25;11.33;15.50;10.26;5.35
21;Hamburg-Nord;Hamburg;32.67;22.41;9.75;14.98;14.39;6.41
22;Hamburg-Wandsbek;Hamburg;29.02;26.72;9.87;10.42;10.32;9.82
23;Hamburg-Bergedorf – Harburg;Hamburg;24.83;23.68;10.18;9.05;7.81;10.34
24;Aurich – Emden;Niedersachsen;23.20;31.30;5.95;6.16;5.92;7.56
25;Unterems;Niedersachsen;43.53;28.28;5.55;6.02;8.00;8.58
26;Friesland – Wilhelmshaven – Wittmund;Niedersachsen;26.46;24.78;5.72;5.86;7.60;7.33
27;Oldenburg – Ammerland;Niedersachsen;31.35;26.71;9.59;12.80;10.64;7.41
28;Delmenhorst – Wesermarsch – Oldenburg-Land;Niedersachsen;33.17;27.95;6.79;7.94;10.02;9.62
29;Cuxhaven – Stade II;Niedersachsen;31.79;22.84;5.35;5.70;6.74;7.43
30;Stade I – Rotenburg II;Niedersachsen;34.62;21.86;5.59;7.31;8.50;7.91
31;Mittelems;Niedersachsen;51.82;24.63;4.79;6.33;9.50;5.69
32;Cloppenburg – Vechta;Niedersachsen;50.65;16.94;4.19;4.82;8.98;7.71
33;Diepholz – Nienburg I;Niedersachsen;32.76;22.01;5.25;7.04;9.10;7.30
34;Osterholz – Verden;Niedersachsen;31.13;23.50;6.49;8.25;7.90;8.61
35;Rotenburg I – Heidekreis;Niedersachsen;27.89;20.08;4.36;5.91;6.30;6.85
36;Harburg;Niedersachsen;33.93;20.76;5.94;9.63;11.06;9.42
37;Lüchow-Dannenberg – Lüneburg;Niedersachsen;25.74;19.29;7.46;11.10;7.61;7.33
38;Osnabrück-Land;Niedersachsen;35.65;22.61;5.37;7.25;8.57;6.42
39;Stadt Osnabrück;Niedersachsen;31.64;21.90;7.47;10.76;8.40;5.57
40;Nienburg II – Schaumburg;Niedersachsen;29.28;25.42;4.86;6.94;7.29;8.77
41;Stadt Hannover I;Niedersachsen;21.36;21.53;7.30;9.56;8.02;7.18
42;Stadt Hannover II;Niedersachsen;21.25;22.28;10.46;12.96;8.65;6.60
43;Hannover-Land I;Niedersachsen;36.87;28.63;6.39;8.41;11.07;10.78
44;Celle – Uelzen;Niedersachsen;34.54;24.00;5.46;7.32;9.58;10.30
45;Gifhorn – Peine;Niedersachsen;33.16;29.63;5.97;7.12;8.21;10.73
46;Hameln-Pyrmont – Holzminden;Niedersachsen;26.07;25.93;5.36;5.87;7.35;8.25
47;Hannover-Land II;Niedersachsen;34.62;32.38;7.22;9.56;10.52;11.38
48;Hildesheim;Niedersachsen;32.20;30.56;6.40;8.69;8.16;9.21
49;Salzgitter – Wolfenbüttel;Niedersachsen;26.99;29.62;6.61;5.99;7.31;11.22
50;Braunschweig;Niedersachsen;24.96;22.65;8.02;10.15;8.61;7.20
51;Helmstedt – Wolfsburg;Niedersachsen;27.60;23.91;5.31;4.73;6.45;8.72
52;Goslar – Northeim – Osterode;Niedersachsen;28.19;28.14;5.57;5.81;8.04;8.87
53;Göttingen;Niedersachsen;30.03;28.09;8.65;11.55;9.05;7.89
54;Bremen I;#N/A;28.36;26.66;15.51;13.82;11.13;9.22
55;Bremen II – Bremerhaven;#N/A;20.40;25.47;10.74;7.68;7.00;10.33
56;Prignitz – Ostprignitz-Ruppin – Havelland I;Brandenburg;20.67;14.60;11.41;2.48;3.85;13.02
57;Uckermark – Barnim I;Brandenburg;21.23;12.70;14.01;3.04;4.12;15.62
58;Oberhavel – Havelland II;Brandenburg;30.50;19.85;15.31;6.85;8.16;19.94
59;Märkisch-Oderland – Barnim II;Brandenburg;24.71;15.20;20.32;4.58;6.46;20.37
60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;Brandenburg;20.87;15.29;12.28;3.07;4.81;13.28
